Street;Number
MAGALLANES;1206
AMERICA;2869
MAGALLANES;1868
ADOLFO IGLESIAS;1453
20 DE JUNIO;1979
GRL SAN MARTIN;1137
PJE S N;654
FORTIN SAN CARLOS;910
ARIAS;251
CHALTEN;2381
GDOR GREGORES;2117
LOS FERROVIARIOS;2832
COMODORO PY;308
CACIQUE POCON;229
BRASIL;2366
LAGO DEL DESIERTO;2875
ARTURO H ILLIA;136
ROSA DE WILSON;1408
PJE NOYA;804
ARISTIZABAL;1443
BENIGNO LAGO;2665
AMEGHINO;368
PUERTO ARGENTINO;2703
PUERTO ARGENTINO;2205
ALEJANDRO SOLAR;1254
DR FIORILLO;271
CACIQUE CASIMIRO BIGUA;2785
ALEJANDRO SOLAR;1616
CHALTEN;2018
ALMTE BROWN;1563
AGUSTIN BORGHIALE;699
CACIQUE POCON;220
SAENZ PENA;2509
DR RENE FAVALORO;1492
PJE S N;311
CACIQUE CAPIPE;54
CACIQUE POCON;718
CERRO BLANCO;2134
BENIGNO LAGO;43
MAIPU;2634
BAHIA BUEN SUCESO;873
ALFEREZ A SANCHEZ;1995
AYOHUMA;72
LAGO DEL DESIERTO;121
LAGO ARGENTINO;1520
LOS ANTIGUOS;416
RUTA NAC N 281;353
ANGEL CARNOTA;2164
DR FERNANDEZ;922
ANGELA BRUNETTI;1727
ALBERTO JUAN BARK;1734
BENITO TRESGUERRES;2571
BENITO PEREZ GALDOS;2252
BARTOLOME MITRE;1603
A SUREDA;1598
A FADUL LAVAQUE;1712
PJE RVDO PDRE TARCISIO FANTIN;853
ANTONIO RIVERO;875
CMTE LUIS PIEDRABUENA;999
FACON GRANDE;1074
RIVADAVIA;1792
BAHIA AGUIRRE;1527
ALMAFUERTE;714
LAGO ARGENTINO;1902
ALCORTA;124
MONS ALEMAN;150
CABILDO;117
CHALTEN;2099
BENITO PEREZ GALDOS;2971
JARAMILLO;2896
BENIGNO LAGO;1886
RAMON SANTOS;254
A BUSTAMANTE;2055
CMTE LUIS PIEDRABUENA;1650
RAMIRO RAMOS;1422
ALBERTO GINASTERA;2363
DESEADO;1767
RIVADAVIA;998
FORTIN SAN CARLOS;2629
AFRICA;1284
LOS ANTIGUOS;2130
PJE S N;1504
CRISTOBAL COLON;717
PJE NOYA;1125
ABUELA PAREDES;833
ALCORTA;2605
A SUREDA;2755
ARIAS;194
AGUSTIN BORGHIALE;463
25 DE MAYO;124
ANGEL BANCIELLA;248
PICO TRUNCADO;68
2 DE ABRIL;948
BATALLA DE PUERTO ARGENTINO;1735
ANTONIO BERUTTI;2589
ANTONIO BALADO;2850
PJE AMELUNG;703
17 DE OCTUBRE;1936
A BUSTAMANTE;35
ALBERTO JUAN BARK;2685
PUERTO ARGENTINO;1237
BERNARDINO RIVADAVIA;672
ADOLFO BAQUIANO PAREJAS;2223
ANTONIO MACHADO;2198
MANUEL ESTRADA;1105
PROVINCIAS UNIDAS;1022
BERNARDINO RIVADAVIA;732
PORTUGAL;1885
A FADUL LAVAQUE;106
RIVADAVIA;854
ARISTIZABAL;2674
AV ASTURIAS;2123
BRASIL;469
AMERICA;908
GDOR RAMON LISTA;2637
GDOR GREGORES;1416
A BUSTAMANTE;1825
RAMIRO RAMOS;1042
CRISTOBAL COLON;262
AMERICA;543
BATALLA DE PUERTO ARGENTINO;1146
ALBERDI;2276
CORMORANES;2718
PUERTO ARGENTINO;908
ROSA DE WILSON;2911
ARSENIO TUR;741
DR ANGEL OYOLI;1058
PJE RVDO PDRE TARCISIO FANTIN;1215
RAMON SANTOS;723
BARTOLOME PEREZ;2383
ATAHUALPA YUPANQUI;2941
PJE VIRICAT;1633
PERITO MORENO;215
13 DE JULIO;841
ARIAS;1354
A GARDINER;127
BELLA VISTA;1385
RIO COLORADO;1838
BARTOLOME MITRE;958
PICO TRUNCADO;798
CRUZ DEL SUR;300
CACIQUE CASIMIRO BIGUA;2302
PJE S N;2532
ALCORTA;1745
BERNARDINO RIVADAVIA;330
LAS HERAS;314
BONIFACIO CAMPOS;2973
MARTIN FIERRO;2000
ANTONIO BALADO;646
PEATONAL;1303
ALBERTO ENCINAS;323
A RODRIGUEZ;2672
DR ANGEL OYOLI;344
FASIOLI;2846
CACIQUE POCON;1155
ALMTE BROWN;1605
TTE ESTEVEZ;2500
AFRICA;127
SGT CABRAL;2226
BRASIL;1816
RIO GALLEGOS;2365
PJE S N;1833
PJE S N;1280
TRES LAGOS;2808
SAENZ PENA;2655
MINERALES;276
COMODORO PY;541
MARTIN FIERRO;2504
BENIGNO LAGO;202
ALBERTO WILLIAMS;524
SGT CABRAL;1154
COLONOS;1079
BELLA VISTA;651
TONINA;251
CACIQUE IBANEZ RUFINO;1482
ALFEREZ A SANCHEZ;2869
MANUEL ESTRADA;231
BERNARDINO RIVADAVIA;2744
ALFRED NOBEL;435
TTE ESTEVEZ;1645
COMODORO PY;2807
PROVINCIAS UNIDAS;2070
ANTONIO SOTO;2225
LOS ANTIGUOS;1566
PUEYRREDON;1249
PJE NOYA;1963
DR AMERICO TOSELLO;823
ARTURO W FENTON;700
EL CALAFATE;1146
YUGOSLAVIA;1532
RIVADAVIA;2477
A FADUL LAVAQUE;763
DR AMERICO TOSELLO;2583
ANTONIO SOTO;1089
JARAMILLO;293
CACIQUE CASIMIRO BIGUA;1038
SAN JULIAN;2589
CALLE S N;2714
CABILDO;1273
ITALIA;2035
CACIQUE POCON;2693
ARSENIO TUR;2172
PESCADORES;831
FARO PINGUINO;198
PREFECTURA NAVAL ARGENTINA;1229
ANTONIO SOTO;766
ALBERTO GINASTERA;794
RUTA NAC N 281;1406
CACIQUE CAPIPE;1016
PEATONAL;2302
MAIPU;484
COLONOS;213
RAMIRO RAMOS;2281
ADOLFO IGLESIAS;1723
PJE NOYA;2426
MARTIN FIERRO;178
DR FERNANDEZ;1820
ALEJANDRO A BONINI;2612
BRASIL;462
ROSA DE WILSON;532
17 DE OCTUBRE;2911
DESEADO;2455
BAHIA AGUIRRE;2908
MARTIN FIERRO;1241
AMERICA;600
ARSENIO TUR;1567
AGUSTIN BORGHIALE;195
ANTARTIDA ARGENTINA;401
ORKEKE;2611
LOS FERROVIARIOS;541
DR FIORILLO;1156
CACIQUE CASIMIRO BIGUA;1622
CORMORANES;531
SAENZ PENA;83
RAMIRO RAMOS;2978
ALMAFUERTE;2605
CABO PRIM VICTOR GUERRERO;861
1 DE MAYO;155
BRASIL;223
BELL GRAHAM;1105
COLONOS;1883
A C MURIEGA V DE BRUNETTI;923
TEHUELCHE;2952
A SUREDA;2369
CACIQUE CAPIPE;851
ROSA DE WILSON;1061
19 DE DICIEMBRE;1268
ANGEL CARNOTA;2138
PJE S N;1759
SAENZ PENA;2138
GRL SAN MARTIN;1072
ALBERTO ENCINAS;1624
CMTE LUIS PIEDRABUENA;314
20 DE JUNIO;901
25 DE MAYO;2255
CMTE LUIS PIEDRABUENA;1989
BELL GRAHAM;1347
ARTURO H ILLIA;2634
BENIGNO LAGO;1076
LEZCANO MAESTRO;527
IGARZABAL;2561
PEATONAL;2844
CRISTOBAL COLON;772
GRL SAN MARTIN;1577
MANUEL ESTRADA;88
AV ASTURIAS;2719
ACONCAGUA;2116
RIO GALLEGOS;2551
ALCORTA;2231
PJE LORENZO WINTER;1344
BAHIA LAURA;1533
KOLEL KAIKE;1705
PJE NOYA;164
BAHIA LAURA;23
ANGEL BANCIELLA;912
PJE S N;1016
TEHUELCHE;2635
ALMAFUERTE;2599
PJE S N;703
JULIA DE LOPEZ;870
CACIQUE IBANEZ RUFINO;899
CALLE S N;1187
TTE ESTEVEZ;2560
ALBERTO GINASTERA;1659
TONINA;1015
20 DE JUNIO;1301
JOSE BACH;1915
ANGEL VICENTE PENALOZA;456
FORTIN SAN CARLOS;2570
BAHIA LAURA;828
TELLIER;2996
ALBERT SABIN;1980
FASIOLI;1096
PJE LORENZO WINTER;1838
ANGEL CARNOTA;1150
RIO GALLEGOS;9
2 DE ABRIL;2688
GDOR GREGORES;1562
BONIFACIO CAMPOS;632
MAGALLANES;1812
TONINA;2035
CORMORANES;2220
DR RENE FAVALORO;2290
MARIANO MORENO;1659
AGUSTIN BORGHIALE;2961
PJE COCCOZ;1527
RIO COLORADO;2997
SARMIENTO;1643
PJE JENKINS;910
17 DE OCTUBRE;2641
AFRICA;60
PICO TRUNCADO;1733
ALFONSO BRIGANDO;2272
BAHIA LAURA;1048
MAIPU;1385
ALBERTO JUAN BARK;2342
ANTONIO SOTO;2726
FACON GRANDE;2564
17 DE OCTUBRE;1772
PJE VIRICAT;2287
PJE NOYA;1253
ANGEL CARNOTA;164
PJE AMELUNG;286
LAS HERAS;2763
ALFRED NOBEL;1436
2 DE ABRIL;2893
AYOHUMA;1398
ANGEL VICENTE PENALOZA;94
ALFONSO BRIGANDO;983
SGT CABRAL;140
CRUZ DEL SUR;1752
ANTONIO RIVERO;1559
PJE S N;1301
DR FIORILLO;546
RIO COLORADO;1686
ANTONIO RIVERO;1251
RIO GALLEGOS;943
EUFRASIA ARIAS;2845
PEATONAL;27
ALFONSINA STORNI;527
ALFONSO BRIGANDO;235
PJE AMELUNG;975
ANTONIO SOTO;2146
ANTONIO ALVAREZ JONTE;1687
FARO PINGUINO;2579
PJE S N;2077
ALMAFUERTE;2955
ARIAS;432
AYOHUMA;1525
RIO TURBIO;1449
MALVINAS;2054
TELLIER;351
AV ASTURIAS;2736
AMEGHINO;2450
PICO TRUNCADO;288
PJE S N;2252
ALEJANDRO A BONINI;420
PJE NOYA;2753
BARTOLOME MITRE;2531
PUERTO ARGENTINO;218
CERRO BLANCO;2459
CALLE S N;1741
TTE ESTEVEZ;2373
LOS FERROVIARIOS;2376
BARTOLOME PEREZ;2432
ATAHUALPA YUPANQUI;1837
ALBERTO GRILLO;2909
ARIAS;685
ANGEL CARNOTA;634
ESPANA;2453
PATAGONIA;2544
ALBERTO GRILLO;2569
A GARDINER;1229
BARTOLOME MITRE;136
AVELLANEDA;300
ALBERTO GRILLO;2710
PUEYRREDON;2743
PJE JENKINS;89
A GARDINER;494
PREFECTURA NAVAL ARGENTINA;2046
ALBERTO GRILLO;268
ALFONSINA STORNI;1958
LAGO ARGENTINO;325
ANGELA BRUNETTI;55
DR ANGEL OYOLI;1984
CABILDO;917
RUTA NAC N 281;987
PANAMA;2164
BATALLA DE PUERTO ARGENTINO;593
A SUREDA;2896
BAHIA LAURA;1157
ALBERTO GINASTERA;1915
A BUSTAMANTE;2405
MAGALLANES;1897
MANUEL ESTRADA;561
IGARZABAL;2061
CACIQUE IBANEZ RUFINO;1486
BAHIA BUEN SUCESO;528
CACIQUE CASIMIRO BIGUA;2844
GDOR GREGORES;1847
ALBERDI;2409
EUFRASIA ARIAS;612
CRUCERO GRL BELGRANO;1881
AMERICA;425
CACIQUE CASIMIRO BIGUA;2944
PJE DUJON;2935
PANAMA;414
9 DE JULIO;930
FASIOLI;2145
ALFONSINA STORNI;1760
VAPOR LOIRE;2858
ARIAS;2832
A RODRIGUEZ;2616
PJE NOYA;840
ALBERTO WILLIAMS;200
PJE AMELUNG;491
ARTURO H ILLIA;1491
ACONCAGUA;795
BELLA VISTA;393
A C MURIEGA V DE BRUNETTI;2921
ANTONIO ALVAREZ JONTE;2396
2 DE ABRIL;2231
ALMAFUERTE;1625
SGT CABRAL;1892
SAN JULIAN;2005
ARISTIZABAL;1026
ALBERDI;2012
GDOR GREGORES;1219
9 DE JULIO;999
ALFONSO BRIGANDO;2815
PUERTO ARGENTINO;1920
ALFONSO BRIGANDO;2847
RECONQUISTA;1577
ANTONIO BERUTTI;2262
AMEGHINO;1287
MARIANO MORENO;1612
YUGOSLAVIA;2945
A RODRIGUEZ;920
ADOLFO IGLESIAS;82
VAPOR LOIRE;1289
ROSA DE WILSON;2315
SANTA CRUZ;858
PJE RVDO PDRE TARCISIO FANTIN;2323
ALBERTO GINASTERA;1166
PATAGONIA;790
9 DE JULIO;828
CRUZ DEL SUR;2106
GDOR RAMON LISTA;1279
PJE JENKINS;76
BELLA VISTA;712
PEATONAL;1250
ALEJANDRO SOLAR;1782
ANTARTIDA ARGENTINA;1992
RVDO PADRE JOSE KOLTUN;2334
FASIOLI;702
PUEYRREDON;82
1 DE MAYO;915
ARISTIZABAL;268
PJE S N;1273
FASIOLI;1595
TRES LAGOS;2750
RAMON SANTOS;1435
ALBERTO WILLIAMS;1193
PANAMA;1066
AMADO NERVO;1387
BENIGNO LAGO;1702
ANTONIO ALVAREZ JONTE;551
SARMIENTO;1759
ANTONIO BERNI;2386
ROSA DE WILSON;2620
AVELLANEDA;2947
CACHO VASQUEZ;1802
PUERTO ARGENTINO;1836
TTE ESTEVEZ;1789
CRUCERO GRL BELGRANO;210
CABILDO;2441
CACIQUE POCON;1485
BAHIA AGUIRRE;782
BAHIA LAURA;892
MAGALLANES;2691
PJE NOYA;45
RVDO PADRE JOSE KOLTUN;377
FITZ ROY;1715
ALMAFUERTE;993
DR AMERICO TOSELLO;733
CACIQUE CAPIPE;839
LOS ANTIGUOS;803
PREFECTURA NAVAL ARGENTINA;441
A SUREDA;361
LOS FERROVIARIOS;267
ANGEL CARNOTA;2093
IGR BRIANO;1937
PJE LORENZO WINTER;354
MANUEL ESTRADA;991
CACIQUE CASIMIRO BIGUA;2819
PJE VIRICAT;1580
LAGO DEL DESIERTO;734
LOS FERROVIARIOS;997
BELLA VISTA;2723
17 DE OCTUBRE;2830
CABO BUEN TIEMPO;1915
DR FIORILLO;1198
A FADUL LAVAQUE;1848
BARTOLOME PEREZ;1334
MAIPU;2129
ALBERTO WILLIAMS;2292
IGR BRIANO;1109
ANGEL VICENTE PENALOZA;631
SAN JULIAN;74
SANTA CRUZ;2032
DR AMERICO TOSELLO;1152
ARIAS;904
AFRICA;1290
FITZ ROY;2586
A C MURIEGA V DE BRUNETTI;2475
LOS ANTIGUOS;1800
PJE S N;1117
A SUREDA;12
20 DE JUNIO;2131
BAHIA AGUIRRE;1731
A FADUL LAVAQUE;615
AMEGHINO;2448
EUFRASIA ARIAS;370
A GARDINER;1109
ARTURO W FENTON;910
RIO GALLEGOS;1975
ANGELA BRUNETTI;1886
TEHUELCHE;446
MARTIN FIERRO;1523
CABILDO;2941
ALBERTO JUAN BARK;2858
ARTURO H ILLIA;559
PREFECTURA NAVAL ARGENTINA;2402
ANTONIO RIVERO;1106
A RODRIGUEZ;2211
CRUZ DEL SUR;1845
9 DE JULIO;1953
PREFECTURA NAVAL ARGENTINA;3
SAENZ PENA;1760
PATAGONIA;443
ANTONIO RIVERO;1350
PJE NOYA;2217
CACIQUE CASIMIRO BIGUA;1422
ANTONIO MACHADO;2622
PUERTO ARGENTINO;807
ORKEKE;1714
CHALTEN;1620
DR RENE FAVALORO;1185
DR FIORILLO;313
TONINA;2705
ANTARTIDA ARGENTINA;927
ANGEL BANCIELLA;2996
RUTA NAC N 281;2346
ADOLFO BAQUIANO PAREJAS;2412
MINERALES;2990
13 DE JULIO;916
DR FIORILLO;571
PORTUGAL;2966
DESEADO;896
ALBERTO GRILLO;1224
LOS FERROVIARIOS;2191
SANTA CRUZ;663
PJE AMELUNG;197
BERNARDINO RIVADAVIA;1627
MAGALLANES;2
CACIQUE IBANEZ RUFINO;1591
19 DE DICIEMBRE;2868
ALBERTO JUAN BARK;1592
ALFRED NOBEL;669
ANGEL VICENTE PENALOZA;2788
TEHUELCHE;311
LOS ANTIGUOS;1822
DR ANGEL OYOLI;1150
ANTONIO MACHADO;2148
PJE NOYA;254
AGUSTIN BORGHIALE;54
BUENOS AIRES;1849
RIO GALLEGOS;2887
LAGO DEL DESIERTO;432
ALBERTO ENCINAS;2552
20 DE JUNIO;2339
PJE RVDO PDRE TARCISIO FANTIN;2083
PJE S N;1701
AYOHUMA;1284
ESPANA;1313
ADOLFO BAQUIANO PAREJAS;921
A GARDINER;1767
CACIQUE CASIMIRO BIGUA;2883
JARAMILLO;338
CHALTEN;1832
PERITO MORENO;1435
ADOLFO IGLESIAS;1746
DR ANGEL OYOLI;2305
PANAMA;1662
KOLEL KAIKE;2130
ATAHUALPA YUPANQUI;1374
GDOR RAMON LISTA;395
ANGEL CARNOTA;2372
ANTONIO RIVERO;1918
GDOR GREGORES;1658
20 DE JUNIO;1806
ALMTE BROWN;2453
CABO BUEN TIEMPO;1067
A SUREDA;1402
LAGO DEL DESIERTO;1819
A FADUL LAVAQUE;1384
ATAHUALPA YUPANQUI;569
A RODRIGUEZ;757
COMODORO PY;2350
ALVEAR;2406
A BUSTAMANTE;1760
25 DE MAYO;441
ATAHUALPA YUPANQUI;2315
CRUCERO GRL BELGRANO;2773
CORMORANES;2446
SANTA CRUZ;467
ROSA DE WILSON;1143
MARTIN FIERRO;2794
RAMON SANTOS;1776
PJE NOYA;2540
PJE DUJON;1093
RIO COLORADO;558
RIVADAVIA;564
ITALIA;1191
ALFEREZ A SANCHEZ;893
ALBERT EINSTEIN;662
SANTA CRUZ;1576
TELLIER;1963
ALFRED NOBEL;2689
CACIQUE CASIMIRO BIGUA;2226
BELLA VISTA;684
BERNARDINO RIVADAVIA;609
CACIQUE IBANEZ RUFINO;2244
GDOR RAMON LISTA;1347
DR RENE FAVALORO;2575
ANTONIO BALADO;383
JARAMILLO;749
ALMTE BROWN;1477
17 DE OCTUBRE;1238
ANTONIO ALVAREZ JONTE;2167
DR FERNANDEZ;2877
BAHIA AGUIRRE;455
AGUSTIN BORGHIALE;31
COMODORO PY;939
PREFECTURA NAVAL ARGENTINA;2138
BERNARDINO RIVADAVIA;52
ALBERT SABIN;1935
ALFRED NOBEL;740
ALBERT EINSTEIN;1710
ANTONIO ALVAREZ JONTE;2735
CACIQUE CAPIPE;352
RIO TURBIO;259
PJE S N;1349
PJE S N;1554
CRUZ DEL SUR;1746
17 DE OCTUBRE;257
PICO TRUNCADO;663
LAS HERAS;693
BUENOS AIRES;2951
IGR PORTELA;919
ROSA DE WILSON;1864
CALLE S N;2480
ANTONIO MACHADO;358
DON BOSCO;657
A SUREDA;2998
LOS FERROVIARIOS;2334
PAMPA ALTA;969
LEZCANO MAESTRO;2360
RIO GALLEGOS;1246
BELL GRAHAM;623
LAS HERAS;2153
KOLEL KAIKE;1516
FACON GRANDE;340
RIO GALLEGOS;545
GRL SAN MARTIN;1943
MAIPU;2891
LOS FERROVIARIOS;2513
MANUEL ESTRADA;2343
13 DE JULIO;2361
20 DE JUNIO;540
ARIAS;1808
GDOR PARADELO;681
CRUZ DEL SUR;2818
CRISTOBAL COLON;1780
ORKEKE;675
PJE JENKINS;1348
BONIFACIO CAMPOS;2270
SAN JULIAN;753
MARIANO MORENO;1614
ARSENIO TUR;1186
CHALTEN;1887
ARTURO H ILLIA;743
BUENOS AIRES;1749
ALEJANDRO SOLAR;105
FACON GRANDE;2599
ARIAS;2340
COLONOS;2466
ADOLFO BAQUIANO PAREJAS;734
CRISTOBAL COLON;2636
BAHIA LAURA;492
GRL SAN MARTIN;797
PATAGONIA;807
YUGOSLAVIA;1153
FACON GRANDE;627
CRISTOBAL COLON;923
17 DE OCTUBRE;1430
TELLIER;2235
IGR BRIANO;2653
RIO COLORADO;2569
JULIO ARGENTINO ROCA;95
TEHUELCHE;224
GDOR PARADELO;1052
PATAGONIA;212
CACIQUE POCON;259
BARTOLOME PEREZ;246
RECONQUISTA;541
CMTE LUIS PIEDRABUENA;1477
DR AMERICO TOSELLO;2787
BAHIA BUEN SUCESO;1614
CACIQUE CAPIPE;2296
ESPANA;1704
DR RENE FAVALORO;1348
RVDO PADRE JOSE KOLTUN;1709
PEATONAL;1824
GDOR RAMON LISTA;2381
ALFONSO BRIGANDO;2441
DR RENE FAVALORO;107
ALVEAR;1799
DR AMERICO TOSELLO;795
VAPOR LOIRE;1429
MARTIN FIERRO;2751
19 DE DICIEMBRE;647
19 DE DICIEMBRE;272
TEHUELCHE;215
17 DE OCTUBRE;934
BATALLA DE PUERTO ARGENTINO;150
ANTONIO RIVERO;1817
BRASIL;2056
COLONOS;2520
CACIQUE YATEL;2550
A GARDINER;2271
SAENZ PENA;2426
ADOLFO BAQUIANO PAREJAS;2611
SANTA CRUZ;2530
PEATONAL;2688
PASEO DE LOS NAVEGANTES;78
ARIAS;843
PJE S N;29
EL CALAFATE;1887
AYOHUMA;837
CRUCERO GRL BELGRANO;1041
MAIPU;1150
EL CALAFATE;1615
BAHIA LAURA;149
CORMORANES;2951
RAMIRO RAMOS;2652
VENEZUELA;289
AMEGHINO;2828
RAMIRO RAMOS;2541
ANTARTIDA ARGENTINA;1612
20 DE JUNIO;2156
PUERTO ARGENTINO;2546
PREFECTURA NAVAL ARGENTINA;1756
PAMPA ALTA;2167
ALFONSO BRIGANDO;2130
PJE S N;721
FORTIN SAN CARLOS;2015
LOS ANTIGUOS;1708
TELLIER;1147
DR RENE FAVALORO;2134
ALBERTO GINASTERA;911
ARTURO H ILLIA;2933
20 DE JUNIO;659
ALFONSINA STORNI;116
SANTA CRUZ;1849
ANTONIO BERUTTI;1049
LAS HERAS;1855
IGARZABAL;1596
BUENOS AIRES;1345
ANGEL VICENTE PENALOZA;130
A C MURIEGA V DE BRUNETTI;519
CORMORANES;1356
ANTONIO BALADO;2249
FITZ ROY;1127
AMEGHINO;1837
JARAMILLO;2334
PJE S N;1981
GDOR PARADELO;2710
AYOHUMA;233
VENEZUELA;2596
PJE LORENZO WINTER;1439
ALMTE BROWN;1317
ALBERTO ENCINAS;2971
IGARZABAL;2740
ANGELA BRUNETTI;1113
KOLEL KAIKE;2169
PEATONAL;242
PANAMA;1020
AVELLANEDA;2891
ALBERTO GINASTERA;2110
A RODRIGUEZ;100
A RODRIGUEZ;1149
LOS FERROVIARIOS;1602
LAS HERAS;2565
RAMON SANTOS;2506
MARTIN FIERRO;889
DESEADO;2925
CERRO BLANCO;2931
PJE S N;1269
TONINA;2837
CABO PRIM VICTOR GUERRERO;804
ARSENIO TUR;1017
PJE DUJON;2468
AFRICA;991
CACHO VASQUEZ;573
CABO BUEN TIEMPO;1990
BONIFACIO CAMPOS;2529
TELLIER;2657
COMODORO PY;2153
ADOLFO BAQUIANO PAREJAS;2190
ADOLFO BAQUIANO PAREJAS;102
ANTONIO ALVAREZ JONTE;2951
A C MURIEGA V DE BRUNETTI;2642
KOLEL KAIKE;1396
LAGO ARGENTINO;1765
ESPANA;1392
LOS FERROVIARIOS;675
LOS ANTIGUOS;399
BELL GRAHAM;124
LAGO ARGENTINO;2430
LEZCANO MAESTRO;1589
ITALIA;238
BARTOLOME MITRE;1655
ALFONSO BRIGANDO;2795
ACONCAGUA;1420
ALBERDI;1651
ALCORTA;2252
CACIQUE POCON;1247
PUEYRREDON;67
JULIA DE LOPEZ;2686
A BUSTAMANTE;1053
ABUELA PAREDES;1552
A FADUL LAVAQUE;1765
VENEZUELA;1904
A GARDINER;2789
ANTONIO BERNI;430
ALCORTA;1062
FITZ ROY;1147
JULIA DE LOPEZ;1567
25 DE MAYO;843
BATALLA DE PUERTO ARGENTINO;2595
SARMIENTO;1713
ALBERTO JUAN BARK;177
CACIQUE IBANEZ RUFINO;2833
ANTONIO BERNI;2312
PASEO DE LOS NAVEGANTES;2680
PAMPA ALTA;2801
BRASIL;836
RAMON SANTOS;213
AMADO NERVO;1004
CACIQUE IBANEZ RUFINO;2783
AYOHUMA;382
GDOR RAMON LISTA;1347
PREFECTURA NAVAL ARGENTINA;2962
RUTA NAC N 281;1014
BELLA VISTA;263
PUEYRREDON;2191
SAENZ PENA;2843
A GARDINER;2801
ALBERT EINSTEIN;2976
BELL GRAHAM;1165
CHALTEN;1161
LOS ANTIGUOS;52
ANTONIO BERUTTI;203
PUERTO ARGENTINO;951
PJE S N;1121
AYOHUMA;1883
PJE RVDO PDRE TARCISIO FANTIN;595
AMEGHINO;1003
ARSENIO TUR;1664
BARTOLOME MITRE;492
ANTONIO BERNI;1860
CORMORANES;2064
ALEJANDRO SOLAR;2679
1 DE MAYO;2563
PERITO MORENO;2549
RAMIRO RAMOS;1002
CACIQUE CAPIPE;1601
CMTE LUIS PIEDRABUENA;2923
FITZ ROY;1733
BONIFACIO CAMPOS;1425
TELLIER;2022
ABUELA PAREDES;2051
ORKEKE;2016
A SUREDA;2976
CACIQUE CASIMIRO BIGUA;2679
YUGOSLAVIA;2259
BRASIL;1318
AGUSTIN BORGHIALE;400
ALBERTO JUAN BARK;487
ANGEL VICENTE PENALOZA;1415
A BUSTAMANTE;1067
GDOR GREGORES;2861
RIO COLORADO;1582
JULIO ARGENTINO ROCA;653
ORKEKE;1039
LOS ANTIGUOS;1826
FARO PINGUINO;1434
ATAHUALPA YUPANQUI;2853
BRASIL;641
CORMORANES;2587
PASEO DE LOS NAVEGANTES;2469
LOS FERROVIARIOS;1728
IGARZABAL;263
AGUSTIN BORGHIALE;169
AFRICA;756
MAGALLANES;1499
CACHO VASQUEZ;124
ARIAS;1561
A SUREDA;2293
BRASIL;2166
ALBERTO GRILLO;1478
ANTONIO MACHADO;2440
MONS ALEMAN;603
CHALTEN;2812
BARTOLOME PEREZ;1267
BAHIA BUEN SUCESO;1454
CACIQUE YATEL;984
GDOR GREGORES;137
GRL SAN MARTIN;2915
TTE ESTEVEZ;710
JULIA DE LOPEZ;1145
SAENZ PENA;1786
CALLE S N;671
ALMAFUERTE;1615
ARTURO H ILLIA;29
CACIQUE CASIMIRO BIGUA;721
GDOR PARADELO;120
ALBERTO GINASTERA;927
PAMPA ALTA;2592
GRL SAN MARTIN;2189
CRUZ DEL SUR;2754
RECONQUISTA;292
ALBERTO ENCINAS;2867
RAMON SANTOS;2155
BARTOLOME PEREZ;725
PJE S N;2398
LAGO ARGENTINO;2403
PEATONAL;578
SGT CABRAL;308
IGARZABAL;2924
BAHIA AGUIRRE;1266
PJE LORENZO WINTER;585
DESEADO;2643
MONS ALEMAN;2330
DESEADO;1226
BAHIA LAURA;2038
RIO COLORADO;779
ARIAS;2849
TRES LAGOS;1837
RAMON SANTOS;1597
JARAMILLO;172
A RODRIGUEZ;979
BAHIA LAURA;630
ALMAFUERTE;121
PJE S N;1290
CHALTEN;2917
PJE S N;2432
AMADO NERVO;432
BARTOLOME MITRE;2041
ANGEL VICENTE PENALOZA;628
ALBERTO GRILLO;815
JOSE BACH;1883
PATAGONIA;486
JARAMILLO;212
PANAMA;96
RUTA NAC N 281;1766
PUEYRREDON;1679
BAHIA AGUIRRE;1084
ANTONIO BERUTTI;2540
PEATONAL;2492
RECONQUISTA;1957
ANGEL VICENTE PENALOZA;2059
CABILDO;1313
BENITO TRESGUERRES;1451
AV PRES NESTOR C KIRCHNER;2366
ACONCAGUA;82
A SUREDA;2856
PESCADORES;1806
DR RENE FAVALORO;1374
AMERICA;632
ALMTE BROWN;1141
GRL SAN MARTIN;1990
BAHIA AGUIRRE;713
AFRICA;479
PJE S N;374
AMADO NERVO;81
GRL SAN MARTIN;291
ALVEAR;264
13 DE JULIO;2711
VAPOR LOIRE;2990
CACIQUE POCON;2747
CRISTOBAL COLON;2538
RAMIRO RAMOS;1606
9 DE JULIO;446
PJE S N;230
ANGEL CARNOTA;1633
BAHIA AGUIRRE;2160
ALBERDI;242
PASEO DE LOS NAVEGANTES;1397
CACIQUE YATEL;905
ORKEKE;1845
ANGEL CARNOTA;2788
A SUREDA;2332
ALBERT SABIN;558
ALBERTO ENCINAS;686
EUFRASIA ARIAS;1177
BRASIL;2374
PASEO DE LOS NAVEGANTES;1061
GRL SAN MARTIN;2978
ANTONIO ALVAREZ JONTE;656
CABO PRIM VICTOR GUERRERO;1186
TONINA;1472
BRASIL;2521
PORTUGAL;623
ALBERDI;734
SANTA CRUZ;2846
PJE S N;2654
CALLE S N;452
CACIQUE IBANEZ RUFINO;1428
GDOR PARADELO;1495
ALBERTO JUAN BARK;2381
RAMON SANTOS;1945
BAHIA LAURA;2060
SGT CABRAL;1142
